                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.83304,                 2.2125,                 1.2139,                0.64995,                0.57014,                 0.6771,                0.49859,                0.88046,                  1.949,                 1.3127,             0.00041035,             0.00041035,             0.00041035
                      2,                0.87903,                 1.4804,                 1.2306,                0.71652,                0.53844,                0.65941,                0.43408,                 1.0392,                 1.8163,                 1.5151,             0.00078608,             0.00078608,             0.00078608
                      3,                0.95518,                 1.4011,                 1.2692,                0.64736,                0.66305,                0.65692,                0.43091,                 1.0645,                 1.7216,                 1.4591,              0.0011206,              0.0011206,              0.0011206
                      4,                0.93966,                 1.3151,                 1.2606,                0.84059,                0.75151,                0.84235,                 0.6042,                 1.0355,                 1.1893,                 1.4498,              0.0010644,              0.0010644,              0.0010644
                      5,                0.89748,                 1.2091,                 1.2295,                0.79374,                   0.68,                0.77597,                0.54081,                  1.084,                 1.5778,                 1.4995,              0.0010025,              0.0010025,              0.0010025
                      6,                0.89618,                  1.142,                 1.2394,                0.83123,                0.68443,                0.82164,                0.60645,                 1.0971,                 1.2752,                 1.4115,             0.00094062,             0.00094062,             0.00094062
                      7,                0.85785,                  1.034,                  1.195,                0.89748,                0.78257,                0.89116,                0.65076,                 1.0256,                 1.2378,                 1.4155,             0.00087875,             0.00087875,             0.00087875
                      8,                0.82351,                0.95399,                 1.1855,                 0.8587,                0.81299,                0.88717,                0.67915,                0.93498,                0.99624,                  1.363,             0.00081688,             0.00081688,             0.00081688
                      9,                0.79937,                0.88712,                 1.1621,                0.85955,                0.75117,                0.88366,                0.66359,                0.89078,                0.91407,                 1.3016,               0.000755,               0.000755,               0.000755
                     10,                0.79306,                0.87772,                 1.1631,                 0.9082,                0.79814,                0.88987,                0.67325,                  1.069,                 0.8586,                 1.5736,             0.00069313,             0.00069313,             0.00069313
                     11,                 0.7376,                 0.8879,                 1.1394,                0.83336,                0.76244,                0.85787,                0.67343,                 1.0118,                0.96942,                 1.3753,             0.00063125,             0.00063125,             0.00063125
                     12,                0.72292,                0.80213,                 1.1282,                0.86679,                 0.8531,                0.90912,                0.70282,                 0.9667,                0.74738,                 1.3682,             0.00056938,             0.00056938,             0.00056938
                     13,                0.68726,                0.72757,                 1.0982,                0.87426,                0.81924,                 0.9016,                0.71086,                0.86281,                0.74998,                 1.2767,              0.0005075,              0.0005075,              0.0005075
                     14,                0.66436,                0.68827,                 1.0729,                 0.9198,                0.84823,                0.92747,                0.74347,                0.89334,                0.66611,                 1.3543,             0.00044563,             0.00044563,             0.00044563
                     15,                0.63402,                0.64326,                 1.0633,                0.92786,                0.83955,                0.92282,                0.73782,                0.90923,                0.66864,                 1.3921,             0.00038375,             0.00038375,             0.00038375
                     16,                0.61082,                0.59246,                 1.0373,                0.91801,                0.83708,                0.91846,                0.74213,                0.97325,                 0.6388,                 1.4126,             0.00032188,             0.00032188,             0.00032188
                     17,                0.57672,                0.56006,                 1.0214,                0.94953,                0.84809,                0.91983,                0.73614,                0.97864,                0.65586,                 1.4329,                0.00026,                0.00026,                0.00026
                     18,                0.57196,                0.53928,                 1.0075,                 0.9159,                0.88698,                0.93034,                0.76811,                0.84402,                0.64949,                 1.2503,             0.00019813,             0.00019813,             0.00019813
                     19,                0.56124,                0.51511,                 1.0045,                0.94592,                0.87902,                0.94072,                0.77741,                0.83799,                0.59633,                 1.2627,             0.00013625,             0.00013625,             0.00013625
                     20,                0.53446,                0.49292,                0.98185,                0.92636,                0.89447,                0.93605,                 0.7819,                0.83446,                0.57138,                 1.2948,             7.4375e-05,             7.4375e-05,             7.4375e-05
